Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 2 	 80 	 0.000000001425000 	 0.000000000388158 	 0.020233340569858 	 5.993 	 126666.6667 	 701754385.9649122953 	 0.000000000488000 	 0.000000000000011 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000000658750 	 0.000000000113816 	 0.014832067451633 	 19.320 	 81076.9231 	 1518026565.4648957253 	 0.000000000265000 	 0.000000000000008 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000000378750 	 0.000000000079605 	 0.016598198026799 	 22.751 	 60600.0000 	 2640264026.4026403427 	 0.000000000291000 	 0.000000000000006 	 True 	 True 	 True 	 True 
False 	 10 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 15 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 25 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 True 	 False 
False 	 75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 True 	 False 
False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 2 	 20 	 0.000000017750000 	 0.000000000702632 	 0.036625775811201 	 48.750 	  1408.7302 	 56338028.1690140888 	 0.000000000387000 	 0.000000000012600 	 True 	 True 	 True 	 True 
