Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000010104375 	 0.000000000288816 	 0.015054997308700 	 -3.220 	 8083500.0000 	    0.00000 	 98967031.6075957119 	 0.000000000296550 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 80 	 0.000000014900000 	 0.000000000488327 	 0.050909646822170 	 16.837 	 1402352.9412 	 1826.57400 	 67114093.9597315490 	 0.000000000287200 	 0.000000000000011 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 80 	 0.000000009963750 	 0.000000000360790 	 0.056420307068252 	 21.146 	 234441.1765 	 1871.39083 	 100363818.8433069885 	 0.000000000285100 	 0.000000000000043 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 80 	 0.000000009656250 	 0.000000000354963 	 0.074012067015706 	 19.214 	 234666.6667 	 2265.15960 	 103559870.5501618087 	 0.000000000291450 	 0.000000000000041 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 80 	 0.000000010880000 	 0.000000000395294 	 0.103026637047238 	 20.717 	 316509.0909 	 2128.34030 	 91911764.7058823556 	 0.000000000280400 	 0.000000000000034 	 True 	 True 	 True 	 True 	 0 
5 	 True 	 20 	 80 	 0.000000003391875 	 0.000000000180588 	 0.094134457063994 	 24.442 	 82227.2727 	 1822.24864 	 294822185.3694490194 	 0.000000000278950 	 0.000000000000041 	 True 	 True 	 True 	 True 	 0 
6 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001955 	 True 	 True 	 False 	 True 	 30 
7 	 True 	 2 	 20 	 0.000000005570000 	 0.000000000158551 	 0.008264744697357 	 -0.952 	 2228000.0000 	    0.00000 	 179533213.6445242167 	 0.000000000277050 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 4 	 20 	 0.000000011982500 	 0.000000000403485 	 0.042064610724183 	 16.609 	 4793000.0000 	 1813.40343 	 83455038.5979553461 	 0.000000000260650 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 6 	 20 	 0.000000017967500 	 0.000000000623971 	 0.097576343971302 	 20.008 	 2395666.6667 	 1720.66225 	 55656045.6379574239 	 0.000000000271400 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 8 	 20 	 0.000000010627500 	 0.000000000394706 	 0.082298658879401 	 18.895 	 708500.0000 	 1901.47973 	 94095506.9395436347 	 0.000000000275100 	 0.000000000000015 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 10 	 20 	 0.000000008990000 	 0.000000000310941 	 0.081041488605908 	 18.944 	 224750.0000 	 3030.39916 	 111234705.2280311435 	 0.000000000275000 	 0.000000000000040 	 True 	 True 	 True 	 True 	 0 
12 	 True 	 20 	 20 	 0.000000004675750 	 0.000000000188162 	 0.098082278349659 	 23.664 	 155858.3333 	    0.00000 	 213869432.7113297284 	 0.000000000270000 	 0.000000000000030 	 True 	 True 	 True 	 True 	 0 
13 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006257 	 True 	 True 	 False 	 True 	 30 
14 	 True 	 2 	 5 	 0.000000045980000 	 0.000000001374235 	 0.071634175437428 	 45.106 	  2055.4314 	 1390.45111 	 21748586.3418877795 	 0.000000000271450 	 0.000000000022370 	 True 	 True 	 True 	 True 	 0 
15 	 True 	 4 	 5 	 0.000000019546000 	 0.000000000656706 	 0.068463653333057 	 19.274 	 1954600.0000 	 1963.24255 	 51161362.9387086779 	 0.000000000261250 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
16 	 True 	 6 	 5 	 0.000000024970000 	 0.000000000865088 	 0.135282253369215 	 20.093 	 2497000.0000 	 2419.30256 	 40048057.6692030430 	 0.000000000269150 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
17 	 True 	 8 	 5 	 0.000000020695000 	 0.000000000715529 	 0.149192382505072 	 18.555 	 2069500.0000 	 2187.35923 	 48320850.4469678625 	 0.000000000266850 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
18 	 True 	 10 	 5 	 0.000000011392000 	 0.000000000477500 	 0.124452191403416 	 22.559 	 1149500.0000 	 2270.40194 	 87780898.8764044791 	 0.000000000276550 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
19 	 True 	 20 	 5 	 0.000000004457000 	 0.000000000234412 	 0.122190818045608 	 27.682 	  1172.8947 	    0.00000 	 224366165.5822302103 	 0.000000000274900 	 0.000000000003800 	 True 	 True 	 True 	 True 	 0 
20 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000028920 	 True 	 True 	 False 	 True 	 30 
21 	 True 	 2 	 80 	 0.000000004039375 	 0.000000000113351 	 0.005908604464512 	 -1.216 	 1292600.0000 	    0.00000 	 247563051.2146062255 	 0.000000000269050 	 0.000000000000003 	 True 	 True 	 True 	 True 	 0 
22 	 True 	 4 	 80 	 0.000000012956250 	 0.000000000487794 	 0.050854070697275 	 15.809 	 2418888.8889 	 1165.31138 	 77182826.8210323304 	 0.000000000274250 	 0.000000000000006 	 True 	 True 	 True 	 True 	 0 
