Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000000631688 	 0.000000000022622 	 0.001179186014404 	 -2.275 	 22708.5106 	    0.00000 	 1583061244.6819033623 	 0.000000000188300 	 0.000000000000029 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 80 	 0.000000001870000 	 0.000000000059835 	 0.006237992361877 	 14.780 	 15422.6804 	 2033.94591 	 534759358.2887700796 	 0.000000000169300 	 0.000000000000121 	 True 	 True 	 True 	 True 	 0 
2 	 False 	 6 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001241 	 True 	 True 	 False 	 True 	 30 
3 	 True 	 8 	 80 	 0.000000001897500 	 0.000000000062001 	 0.012927555645165 	 11.752 	 12286.2903 	 1813.66875 	 527009222.6613965631 	 0.000000000186650 	 0.000000000000155 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 80 	 0.000000000787625 	 0.000000000026130 	 0.006810229698934 	 17.853 	 25204.0000 	    0.00000 	 1269639739.7238531113 	 0.000000000159550 	 0.000000000000031 	 True 	 True 	 True 	 True 	 0 
5 	 True 	 20 	 80 	 0.000000000758500 	 0.000000000034860 	 0.018171229246998 	 22.545 	 110327.2727 	    0.00000 	 1318391562.2940013409 	 0.000000000154750 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
6 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001136 	 True 	 True 	 False 	 True 	 30 
7 	 True 	 2 	 20 	 0.000000004326250 	 0.000000000182972 	 0.009537705514030 	 -1.631 	 29124.5902 	    0.00000 	 231147067.3215833604 	 0.000000000167550 	 0.000000000000153 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 4 	 20 	 0.000000004448750 	 0.000000000176546 	 0.018405500098689 	 12.664 	  6348.6014 	    0.00000 	 224782242.2028659582 	 0.000000000163450 	 0.000000000000715 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 6 	 20 	 0.000000003797000 	 0.000000000144698 	 0.022627754284904 	 16.283 	 12336.2903 	  420.00865 	 263365815.1171977818 	 0.000000000165450 	 0.000000000000310 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 8 	 20 	 0.000000003766000 	 0.000000000117729 	 0.024547305683866 	 15.905 	 15691.6667 	 1780.97625 	 265533722.7827934027 	 0.000000000162600 	 0.000000000000240 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 10 	 20 	 0.000000003512000 	 0.000000000112769 	 0.029391302958754 	 16.531 	 28118.0000 	 1874.59768 	 284738041.0022779107 	 0.000000000157000 	 0.000000000000125 	 True 	 True 	 True 	 True 	 0 
12 	 False 	 20 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000003810 	 True 	 True 	 False 	 True 	 30 
13 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005863 	 True 	 True 	 False 	 True 	 30 
14 	 True 	 2 	 5 	 0.000000041120000 	 0.000000001410235 	 0.073510706757211 	 0.974 	 253823.5294 	    0.00000 	 24319066.1478599235 	 0.000000000177550 	 0.000000000000170 	 True 	 True 	 True 	 True 	 0 
15 	 True 	 4 	 5 	 0.000000050030000 	 0.000000001733097 	 0.180680842232859 	 13.936 	 23937.7990 	 1780.18919 	 19988007.1956825927 	 0.000000000162300 	 0.000000000002090 	 True 	 True 	 True 	 True 	 0 
16 	 False 	 6 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000012830 	 True 	 True 	 False 	 True 	 30 
17 	 True 	 8 	 5 	 0.000000016592000 	 0.000000000548238 	 0.114310972741734 	 13.771 	 19293.0233 	    0.00000 	 60270009.6432015449 	 0.000000000161350 	 0.000000000000860 	 True 	 True 	 True 	 True 	 0 
18 	 True 	 10 	 5 	 0.000000014042000 	 0.000000000495863 	 0.129238308506714 	 17.848 	 30526.0870 	    0.00000 	 71214926.6486255527 	 0.000000000160550 	 0.000000000000460 	 True 	 True 	 True 	 True 	 0 
19 	 True 	 20 	 5 	 0.000000007768000 	 0.000000000299863 	 0.156308399432031 	 24.067 	 48550.0000 	    0.00000 	 128733264.6755921692 	 0.000000000161550 	 0.000000000000160 	 True 	 True 	 True 	 True 	 0 
20 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000018290 	 True 	 True 	 False 	 True 	 30 
21 	 True 	 2 	 80 	 0.000000001853750 	 0.000000000055758 	 0.002906447782136 	 -0.193 	 370750.0000 	    0.00000 	 539447066.7565745115 	 0.000000000172500 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
