Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000005325000 	 0.000000000190441 	 0.009927045757156 	 2.167 	 10540000.0000 	 1540.71428 	 187793427.2300469577 	 0.000000000236000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 80 	 0.000000005487500 	 0.000000000186029 	 0.019394151170351 	 17.092 	 8780000.0000 	 1119.38315 	 182232346.2414578795 	 0.000000000228000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 80 	 0.000000005225000 	 0.000000000168382 	 0.026331584691761 	 16.424 	 1393333.3333 	 1935.39368 	 191387559.8086124361 	 0.000000000236000 	 0.000000000000004 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 80 	 0.000000002400000 	 0.000000000078603 	 0.016389207589806 	 16.747 	 480000.0000 	 1775.11601 	 416666666.6666666269 	 0.000000000234000 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 80 	 0.000000000785000 	 0.000000000025846 	 0.006736209620927 	 17.635 	 426000.0000 	    0.00000 	 1273885350.3184711933 	 0.000000000239000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
5 	 False 	 20 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001650 	 True 	 True 	 False 	 True 	 30 
6 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001900 	 True 	 True 	 False 	 True 	 30 
7 	 True 	 2 	 20 	 0.000000010100000 	 0.000000000600000 	 0.031275943389340 	 48.984 	  1270.4403 	 1476.45282 	 99009900.9900990129 	 0.000000000229000 	 0.000000000007950 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 4 	 20 	 0.000000023000000 	 0.000000000694412 	 0.072394610139443 	 13.825 	 9200000.0000 	 1427.23268 	 43478260.8695652187 	 0.000000000234000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 6 	 20 	 0.000000020350000 	 0.000000000663235 	 0.103716547563179 	 17.157 	 2713333.3333 	 2250.88087 	 49140049.1400491446 	 0.000000000224000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 8 	 20 	 0.000000013950000 	 0.000000000535147 	 0.111581527444910 	 11.564 	 558000.0000 	    0.00000 	 71684587.8136200756 	 0.000000000225000 	 0.000000000000025 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 10 	 20 	 0.000000008050000 	 0.000000000263382 	 0.068646096336162 	 17.882 	 805000.0000 	 2063.67145 	 124223602.4844720662 	 0.000000000228000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
12 	 True 	 20 	 20 	 0.000000004555000 	 0.000000000191471 	 0.099807054639512 	 40.451 	  1232.7470 	 1963.92299 	 219538968.1668496132 	 0.000000000229000 	 0.000000000003695 	 True 	 True 	 True 	 True 	 0 
13 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005100 	 True 	 True 	 False 	 True 	 30 
14 	 False 	 2 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 	 30 
15 	 True 	 4 	 5 	 0.000000185800000 	 0.000000005982353 	 0.623679106410959 	 15.902 	 18620000.0000 	 1907.84688 	 5382131.3240043055 	 0.000000000230000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
16 	 True 	 6 	 5 	 0.000000135400000 	 0.000000005329412 	 0.833411903257122 	 16.831 	 14280000.0000 	 1795.03689 	 7385524.3722304283 	 0.000000000228000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
17 	 True 	 8 	 5 	 0.000000037600000 	 0.000000001158824 	 0.241621994027451 	 14.736 	 752000.0000 	 2438.05027 	 26595744.6808510646 	 0.000000000226000 	 0.000000000000050 	 True 	 True 	 True 	 True 	 0 
18 	 True 	 10 	 5 	 0.000000030400000 	 0.000000001200000 	 0.312759433893401 	 -2.222 	 3040000.0000 	    0.00000 	 32894736.8421052620 	 0.000000000229000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
19 	 True 	 20 	 5 	 0.000000011340000 	 0.000000000522941 	 0.272591310520817 	 20.443 	 20885.2459 	    0.00000 	 88183421.5167548507 	 0.000000000232000 	 0.000000000000610 	 True 	 True 	 True 	 True 	 0 
20 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000020600 	 True 	 True 	 False 	 True 	 30 
21 	 True 	 2 	 80 	 0.000000005725000 	 0.000000000154228 	 0.008039373928816 	 -0.063 	 9160000.0000 	    0.00000 	 174672489.0829694271 	 0.000000000233000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
22 	 True 	 4 	 80 	 0.000000004637500 	 0.000000000136324 	 0.014212156628391 	 12.514 	 2473333.3333 	 1713.05956 	 215633423.1805929840 	 0.000000000231000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
23 	 True 	 6 	 80 	 0.000000003700000 	 0.000000000119118 	 0.018627583930416 	 17.478 	 1973333.3333 	    0.00000 	 270270270.2702702284 	 0.000000000238000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
24 	 True 	 8 	 80 	 0.000000001425000 	 0.000000000043750 	 0.009122150155224 	 18.216 	 456000.0000 	 2343.73181 	 701754385.9649122953 	 0.000000000233000 	 0.000000000000003 	 True 	 True 	 True 	 True 	 0 
25 	 True 	 10 	 80 	 0.000000000080500 	 0.000000000003524 	 0.000918347553442 	 18.872 	 128800.0000 	    0.00000 	 12422360248.4472045898 	 0.000000000222000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
26 	 False 	 20 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002388 	 True 	 True 	 False 	 True 	 30 
27 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 	 30 
28 	 True 	 2 	 20 	 0.000000032600000 	 0.000000000955882 	 0.049826870595762 	 0.677 	 13220000.0000 	    0.00000 	 30674846.6257668734 	 0.000000000241000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
29 	 True 	 4 	 20 	 0.000000027600000 	 0.000000000907353 	 0.094594397407955 	 14.140 	 3680000.0000 	 1743.97906 	 36231884.0579710156 	 0.000000000229000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
30 	 True 	 6 	 20 	 0.000000012050000 	 0.000000000487941 	 0.076304103063111 	 43.198 	  2558.3864 	 1837.21688 	 82987551.8672199249 	 0.000000000228000 	 0.000000000004710 	 True 	 True 	 True 	 True 	 0 
31 	 True 	 8 	 20 	 0.000000005950000 	 0.000000000212353 	 0.044276923778634 	 12.660 	 238000.0000 	    0.00000 	 168067226.8907563090 	 0.000000000232000 	 0.000000000000025 	 True 	 True 	 True 	 True 	 0 
32 	 False 	 10 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000008950 	 True 	 True 	 False 	 True 	 30 
33 	 True 	 20 	 20 	 0.000000001475000 	 0.000000000058794 	 0.030647358252594 	 20.584 	 592000.0000 	    0.00000 	 677966101.6949152946 	 0.000000000228000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
