Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
100 	 20 	 0.000000003355000 	 0.000000000753769 	 1.964569308375658 	 26.667 	  1217.7858 	 298062593.1445603967 	 0.000000000707000
2 	 5 	 0.000000031800000 	 0.000000010685004 	 0.556972631988604 	 2.739 	 23043.4783 	 31446540.8805031404 	 0.000000000333000
5 	 5 	 0.000000042200000 	 0.000000010050251 	 1.309712872250435 	 16.073 	 72758.6207 	 23696682.4644549750 	 0.000000000517000
8 	 5 	 0.000000029600000 	 0.000000007257339 	 1.513200893244294 	 21.696 	  5016.9492 	 33783783.7837837785 	 0.000000000672000
10 	 5 	 0.000000019840000 	 0.000000004221106 	 1.100158812690367 	 25.058 	  1793.8517 	 50403225.8064516038 	 0.000000000647000
15 	 5 	 0.000000029400000 	 0.000000005628141 	 2.200317625380733 	 27.016 	  1865.4822 	 34013605.4421768710 	 0.000000000645000
25 	 5 	 0.000000022000000 	 0.000000004020101 	 2.619425744500884 	 28.571 	  1366.4596 	 45454545.4545454532 	 0.000000000522000
50 	 5 	 0.000000003340000 	 0.000000000506744 	 0.660371016639955 	 37.868 	    93.2961 	 299401197.6047903895 	 0.000000000452000
75 	 5 	 0.000000002060000 	 0.000000000422111 	 0.825119109517775 	 32.793 	   146.3068 	 485436893.2038835287 	 0.000000000388000
100 	 5 	 0.000000003020000 	 0.000000000361809 	 0.942993268020316 	 39.884 	   193.8383 	 331125827.8145695329 	 0.000000000416000
2 	 80 	 0.000000054125000 	 0.000000011306533 	 0.589370792512693 	 6.696 	 98409.0909 	 18475750.5773672052 	 0.000000000392000
5 	 80 	 0.000000027875000 	 0.000000007537688 	 0.982284654187829 	 10.990 	 123888.8889 	 35874439.4618834108 	 0.000000000386000
8 	 80 	 0.000000032375000 	 0.000000007537688 	 1.571655446700527 	 13.354 	 36530.3244 	 30888030.8880308867 	 0.000000000418000
10 	 80 	 0.000000027750000 	 0.000000007537688 	 1.964569308375658 	 10.662 	 153103.4483 	 36036036.0360360369 	 0.000000000344000
15 	 80 	 0.000000024500000 	 0.000000006281407 	 2.455711635469563 	 13.105 	 74242.4242 	 40816326.5306122452 	 0.000000000400000
25 	 80 	 0.000000006737500 	 0.000000001758794 	 1.145998763219135 	 14.655 	 18586.2069 	 148423005.5658626854 	 0.000000000380000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000096750 	 0.000000000013538 	 0.026463524071705 	 22.021 	  1887.8049 	 10335917312.6614990234 	 0.000000000309000
100 	 80 	 0.000000002975000 	 0.000000000641365 	 1.671607218530159 	 16.915 	  4197.5309 	 336134453.7815126181 	 0.000000000398000
2 	 20 	 0.000000037650000 	 0.000000011557789 	 0.602467921235200 	 2.366 	 76836.7347 	 26560424.9667994678 	 0.000000000335000
5 	 20 	 0.000000034050000 	 0.000000008542714 	 1.113255941412872 	 13.484 	 40058.8235 	 29368575.6240822338 	 0.000000000424000
8 	 20 	 0.000000033900000 	 0.000000008569162 	 1.786724086775330 	 12.622 	 339000.0000 	 29498525.0737463124 	 0.000000000453000
10 	 20 	 0.000000028650000 	 0.000000008040201 	 2.095540595600689 	 14.704 	 409285.7143 	 34904013.9616055861 	 0.000000000450000
15 	 20 	 0.000000027500000 	 0.000000006612007 	 2.584959616283760 	 15.762 	 21568.6275 	 36363636.3636363596 	 0.000000000472000
