Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 2 	 80 	 0.000000007362500 	 0.000000001389260 	 0.072417359348370 	 27.726 	 57745.0980 	 135823429.5415959358 	 0.000000000065300 	 0.000000000000127 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000000416250 	 0.000000000065889 	 0.008586373529381 	 33.765 	 133200.0000 	 2402402402.4024024010 	 0.000000000086900 	 0.000000000000003 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000001191250 	 0.000000000202735 	 0.042271593792124 	 35.784 	 13517.7305 	 839454354.6694648266 	 0.000000000078500 	 0.000000000000088 	 True 	 True 	 True 	 True 
True 	 10 	 80 	 0.000000000337500 	 0.000000000054656 	 0.014245210598508 	 37.101 	 108000.0000 	 2962962962.9629631042 	 0.000000000068700 	 0.000000000000003 	 True 	 True 	 True 	 True 
True 	 15 	 80 	 0.000000001026250 	 0.000000000164141 	 0.064170969706664 	 38.162 	 24147.0588 	 974421437.2716200352 	 0.000000000056500 	 0.000000000000043 	 True 	 True 	 True 	 True 
True 	 25 	 80 	 0.000000000192500 	 0.000000000035354 	 0.023035732715213 	 37.143 	 77000.0000 	 5194805194.8051948547 	 0.000000000053300 	 0.000000000000002 	 True 	 True 	 True 	 True 
True 	 50 	 80 	 0.000000000166250 	 0.000000000021465 	 0.027971961154187 	 42.425 	  1072.5806 	 6015037593.9849624634 	 0.000000000052300 	 0.000000000000155 	 True 	 True 	 True 	 True 
True 	 75 	 80 	 0.000000000376250 	 0.000000000063364 	 0.123860033896402 	 37.924 	  7717.9487 	 2657807308.9700994492 	 0.000000000089000 	 0.000000000000049 	 True 	 True 	 True 	 True 
True 	 100 	 80 	 0.000000000271250 	 0.000000000044192 	 0.115178663576064 	 38.375 	  4297.0297 	 3686635944.7004609108 	 0.000000000147000 	 0.000000000000063 	 True 	 True 	 True 	 True 
True 	 2 	 20 	 0.000000004305000 	 0.000000000808081 	 0.042122482679246 	 8.313 	  2502.9070 	 232288037.1660859585 	 0.000000000055400 	 0.000000000001720 	 True 	 True 	 True 	 True 
True 	 5 	 20 	 0.000000004255000 	 0.000000000777046 	 0.101261919438469 	 25.455 	 567333.3333 	 235017626.3219741285 	 0.000000000162000 	 0.000000000000007 	 True 	 True 	 True 	 True 
True 	 8 	 20 	 0.000000001635000 	 0.000000000307076 	 0.064027186502655 	 28.869 	 218000.0000 	 611620795.1070336103 	 0.000000000111000 	 0.000000000000007 	 True 	 True 	 True 	 True 
True 	 10 	 20 	 0.000000002070000 	 0.000000000404040 	 0.105306206698115 	 30.317 	 414000.0000 	 483091787.4396134615 	 0.000000000109000 	 0.000000000000005 	 True 	 True 	 True 	 True 
