Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000005580000 	 0.000000000165950 	 0.008650415599800 	 -0.679 	 114461.5385 	    0.00000 	 179211469.5340501964 	 0.000000000194050 	 0.000000000000049 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 80 	 0.000000010834375 	 0.000000000351936 	 0.036690401322205 	 14.921 	 64682.8358 	 1815.49833 	 92298817.4214017987 	 0.000000000182350 	 0.000000000000167 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 80 	 0.000000001399375 	 0.000000000048064 	 0.007516312551732 	 17.700 	 15441.3793 	 2437.71826 	 714604734.2563643456 	 0.000000000164650 	 0.000000000000091 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 80 	 0.000000001633750 	 0.000000000057914 	 0.012075341822433 	 20.103 	 31878.0488 	 2357.84554 	 612088752.8691660166 	 0.000000000164200 	 0.000000000000051 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 80 	 0.000000001144938 	 0.000000000042121 	 0.010978230381161 	 20.853 	 43616.6667 	 2255.88620 	 873410120.6397730112 	 0.000000000162650 	 0.000000000000026 	 True 	 True 	 True 	 True 	 0 
5 	 True 	 20 	 80 	 0.000000001589375 	 0.000000000059567 	 0.031050407191621 	 22.095 	 423833.3333 	 1973.63042 	 629178136.0597718954 	 0.000000000158750 	 0.000000000000004 	 True 	 True 	 True 	 True 	 0 
6 	 True 	 100 	 80 	 0.000000000539125 	 0.000000000050468 	 0.131535315906851 	 39.893 	  1159.4086 	    0.00000 	 1854857407.8367724419 	 0.000000000161050 	 0.000000000000465 	 True 	 True 	 True 	 True 	 0 
7 	 True 	 2 	 20 	 0.000000014220000 	 0.000000000443218 	 0.023103452557203 	 0.066 	 177750.0000 	    0.00000 	 70323488.0450070351 	 0.000000000163850 	 0.000000000000080 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 4 	 20 	 0.000000009467500 	 0.000000000318928 	 0.033249296407886 	 16.763 	 20807.6923 	 2211.40358 	 105624504.8851333410 	 0.000000000152550 	 0.000000000000455 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 6 	 20 	 0.000000006470000 	 0.000000000237065 	 0.037072143775956 	 19.281 	 23527.2727 	 2047.08015 	 154559505.4095826745 	 0.000000000157400 	 0.000000000000275 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 8 	 20 	 0.000000007025000 	 0.000000000250250 	 0.052178749916043 	 19.635 	 36493.5065 	 1929.19148 	 142348754.4483985901 	 0.000000000159300 	 0.000000000000192 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 10 	 20 	 0.000000007472500 	 0.000000000269257 	 0.070177152834795 	 20.841 	 63595.7447 	 2025.77815 	 133824021.4118434340 	 0.000000000166050 	 0.000000000000118 	 True 	 True 	 True 	 True 	 0 
12 	 True 	 20 	 20 	 0.000000006165000 	 0.000000000236462 	 0.123259741223840 	 22.488 	 189692.3077 	 1876.14195 	 162206001.6220600009 	 0.000000000167200 	 0.000000000000033 	 True 	 True 	 True 	 True 	 0 
13 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004330 	 True 	 True 	 False 	 True 	 30 
14 	 True 	 2 	 5 	 0.000000091240000 	 0.000000002775591 	 0.144682024875712 	 0.435 	 240105.2632 	    0.00000 	 10960105.2170100827 	 0.000000000165750 	 0.000000000000380 	 True 	 True 	 True 	 True 	 0 
15 	 True 	 4 	 5 	 0.000000062500000 	 0.000000002243909 	 0.233934544763787 	 17.785 	 40584.4156 	 1908.02180 	 15999999.9999999981 	 0.000000000160550 	 0.000000000001540 	 True 	 True 	 True 	 True 	 0 
16 	 True 	 6 	 5 	 0.000000041800000 	 0.000000001546998 	 0.241919067357627 	 20.743 	 42653.0612 	 1875.09398 	 23923444.9760765545 	 0.000000000156950 	 0.000000000000980 	 True 	 True 	 True 	 True 	 0 
17 	 True 	 8 	 5 	 0.000000031590000 	 0.000000001156747 	 0.241189042468454 	 20.924 	 50142.8571 	 1933.42304 	 31655587.2111427635 	 0.000000000155050 	 0.000000000000630 	 True 	 True 	 True 	 True 	 0 
18 	 True 	 10 	 5 	 0.000000024460000 	 0.000000000904670 	 0.235786631883763 	 21.560 	 66108.1081 	 1879.31998 	 40883074.4071954191 	 0.000000000156500 	 0.000000000000370 	 True 	 True 	 True 	 True 	 0 
19 	 True 	 20 	 5 	 0.000000014344000 	 0.000000000613393 	 0.319740713241502 	 23.889 	 22768.2540 	 2155.11640 	 69715560.5131065249 	 0.000000000157750 	 0.000000000000630 	 True 	 True 	 True 	 True 	 0 
20 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014570 	 True 	 True 	 False 	 True 	 30 
21 	 True 	 2 	 80 	 0.000000003196250 	 0.000000000100781 	 0.005253358394061 	 0.370 	 246619.0476 	    0.00000 	 312866640.5944465995 	 0.000000000173600 	 0.000000000000013 	 True 	 True 	 True 	 True 	 0 
22 	 True 	 4 	 80 	 0.000000002436250 	 0.000000000083153 	 0.008668994400153 	 17.538 	 24362.5000 	 1790.22311 	 410466906.1056952477 	 0.000000000166400 	 0.000000000000100 	 True 	 True 	 True 	 True 	 0 
23 	 True 	 6 	 80 	 0.000000001954375 	 0.000000000068923 	 0.010778094517134 	 19.125 	 32237.1134 	 2219.52062 	 511672529.5810681581 	 0.000000000167400 	 0.000000000000061 	 True 	 True 	 True 	 True 	 0 
