Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000000027 	 0.000000000000079 	 0.000004137546678 	 -12.695 	  2660.0000 	 37209302325581.3984375000 	 0.000000500000000
5 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 80 	 0.000000004525000 	 0.000000000731250 	 0.152470224023033 	 5.842 	 7240000.0000 	 220994475.1381215453 	 0.000000000134000
10 	 80 	 0.000000001135000 	 0.000000000180833 	 0.047131109135325 	 15.249 	 90800.0000 	 881057268.7224669456 	 0.000000000113000
15 	 80 	 0.000000000005400 	 0.000000000000421 	 0.000164687389409 	 22.835 	    27.0000 	 185185185185.1851806641 	 0.000000000002150
25 	 80 	 0.000000002250000 	 0.000000000350000 	 0.228053753880605 	 17.195 	 20454.5455 	 444444444.4444444776 	 0.000000000050800
50 	 80 	 0.000000001537500 	 0.000000000208333 	 0.271492564143577 	 22.076 	 11181.8182 	 650406504.0650405884 	 0.000000000041800
75 	 80 	 0.000000001575000 	 0.000000000252500 	 0.493573481613024 	 20.049 	  7325.5814 	 634920634.9206349850 	 0.000000000079600
100 	 80 	 0.000000001525000 	 0.000000000250000 	 0.651582153944585 	 21.167 	  6931.8182 	 655737704.9180327654 	 0.000000000086400
2 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 20 	 -0.000000000000005 	 0.000000000000003 	 0.000000347510482 	 -11.253 	   153.0000 	 -200000000000000.0000000000 	 -0.000000000000050
8 	 20 	 0.000000017850000 	 0.000000002050000 	 0.427437892987648 	 20.423 	 92727.2727 	 56022408.9635854363 	 0.000000000002450
10 	 20 	 0.000000003770000 	 0.000000000543333 	 0.141610521457290 	 18.150 	 22848.4848 	 265251989.3899204135 	 0.000000000006550
15 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 20 	 -0.000000000000005 	 0.000000000000000 	 0.000000217194051 	 -11.260 	   125.0000 	 -200000000000000.0000000000 	 0.000000000005000
50 	 20 	 0.000000006050000 	 0.000000001050000 	 1.368322523283629 	 14.518 	 151250.0000 	 165289256.1983470917 	 -0.000000000000150
75 	 20 	 0.000000001310000 	 0.000000000085000 	 0.166153449255869 	 25.582 	  6238.0952 	 763358778.6259542704 	 0.000000000001450
100 	 20 	 0.000000002600000 	 0.000000000426667 	 1.112033542732093 	 17.502 	  6540.8805 	 384615384.6153845787 	 0.000000000007150
2 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 5 	 -0.000000000000030 	 0.000000000000040 	 0.000005212657232 	 -11.264 	   179.0000 	 -33333333333333.3359375000 	 0.000000000157000
8 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
10 	 5 	 0.000000027200000 	 0.000000002600000 	 0.677645440102369 	 31.480 	 16190.4762 	 36764705.8823529407 	 0.000000000005300
15 	 5 	 0.000000074000000 	 0.000000016133333 	 6.307315250183597 	 7.643 	 39153.4392 	 13513513.5135135129 	 0.000000000045100
25 	 5 	 0.000000031800000 	 0.000000006400000 	 4.170125785245359 	 13.700 	 122307.6923 	 31446540.8805031404 	 0.000000000009050
50 	 5 	 0.000000021000000 	 0.000000004400000 	 5.733922954712358 	 12.591 	 13043.4783 	 47619047.6190476194 	 0.000000000035200
75 	 5 	 0.000000012400000 	 0.000000002200000 	 4.300442216034268 	 18.355 	  4558.8235 	 80645161.2903225720 	 0.000000000005050
100 	 5 	 0.000000008560000 	 0.000000001400000 	 3.648860062089678 	 21.475 	  3014.0845 	 116822429.9065420628 	 0.000000000001350
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000805000 	 0.000000000150000 	 0.019547464618338 	 15.271 	 21466.6667 	 1242236024.8447206020 	 0.000000000105000
8 	 80 	 0.000000001021250 	 0.000000000100000 	 0.020850628926227 	 28.785 	  4392.4731 	 979192166.4626682997 	 0.000000000007200
10 	 80 	 0.000000000446250 	 0.000000000066833 	 0.017418962915452 	 21.091 	  4080.0000 	 2240896358.5434169769 	 0.000000000005250
15 	 80 	 0.000000000726250 	 0.000000000101583 	 0.039713932282922 	 21.481 	  3797.3856 	 1376936316.6953527927 	 0.000000000011500
25 	 80 	 0.000000001300000 	 0.000000000200000 	 0.130316430788917 	 19.072 	  5226.1307 	 769230769.2307691574 	 0.000000000054700
50 	 80 	 0.000000000385000 	 0.000000000052750 	 0.068741917241154 	 25.006 	  1595.8549 	 2597402597.4025974274 	 0.000000000012300
75 	 80 	 0.000000000613750 	 0.000000000077000 	 0.150515477561199 	 26.304 	  2922.6190 	 1629327902.2403259277 	 0.000000000031700
100 	 80 	 0.000000000502500 	 0.000000000062083 	 0.161809568229572 	 28.190 	  2245.8101 	 1990049751.2437808514 	 0.000000000060900
2 	 20 	 0.000000004010000 	 0.000000000643333 	 0.033534761523015 	 11.088 	 534666.6667 	 249376558.6034912467 	 0.000000000059900
5 	 20 	 0.000000000580000 	 0.000000000071350 	 0.009298077336789 	 21.004 	 116000.0000 	 1724137931.0344827175 	 0.000000000001100
8 	 20 	 0.000000004815000 	 0.000000000863333 	 0.180010429729758 	 16.887 	 29630.7692 	 207684319.8338525295 	 0.000000000043500
10 	 20 	 0.000000006050000 	 0.000000000980000 	 0.255420204346278 	 19.591 	 13672.3164 	 165289256.1983470917 	 0.000000000030900
15 	 20 	 0.000000003310000 	 0.000000000460000 	 0.179836674488706 	 24.878 	  6554.4554 	 302114803.6253776550 	 0.000000000015100
25 	 20 	 0.000000001945000 	 0.000000000260000 	 0.169411360025593 	 26.198 	  3740.3846 	 514138817.4807198048 	 0.000000000025900
50 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 5 	 0.000000031400000 	 0.000000005480000 	 0.285653616289306 	 13.209 	 3140000.0000 	 31847133.7579617836 	 0.000000000066400
5 	 5 	 0.000000018660000 	 0.000000002733333 	 0.356198244156374 	 20.597 	 233250.0000 	 53590568.0600214377 	 0.000000000031900
8 	 5 	 0.000000053600000 	 0.000000009466667 	 1.973859538349466 	 17.181 	 69610.3896 	 18656716.4179104492 	 0.000000000029000
10 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
15 	 5 	 0.000000006920000 	 0.000000000932000 	 0.364364740485812 	 22.339 	  3203.7037 	 144508670.5202312171 	 0.000000000008900
25 	 5 	 0.000000029200000 	 0.000000004440000 	 2.893024763513963 	 20.163 	 11587.3016 	 34246575.3424657509 	 0.000000000002400
50 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 5 	 0.000000000163800 	 0.000000000021107 	 0.041258181987771 	 27.680 	   273.0000 	 6105006105.0061044693 	 0.000000000091500
100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 80 	 0.000000006187500 	 0.000000001008333 	 0.052560960418197 	 8.258 	 3300000.0000 	 161616161.6161616147 	 0.000000000000600
5 	 80 	 0.000000001176250 	 0.000000000184167 	 0.023999942670292 	 17.393 	 144769.2308 	 850159404.8884165287 	 0.000000000000950
8 	 80 	 0.000000001230000 	 0.000000000112500 	 0.023456957542005 	 30.045 	  5178.9474 	 813008130.0813008547 	 -0.000000000000150
10 	 80 	 0.000000000966250 	 0.000000000141667 	 0.036922988723526 	 20.583 	  9974.1935 	 1034928848.6416559219 	 0.000000000028900
15 	 80 	 0.000000001092500 	 0.000000000150000 	 0.058642393855013 	 23.234 	  7945.4545 	 915331807.7803204060 	 0.000000000000800
25 	 80 	 0.000000000817500 	 0.000000000082500 	 0.053755527700428 	 30.747 	  3406.2500 	 1223241590.2140672207 	 -0.000000000001350
50 	 80 	 0.000000000446250 	 0.000000000059750 	 0.077864067396378 	 24.442 	  2245.2830 	 2240896358.5434169769 	 -0.000000000002500
75 	 80 	 0.000000000261250 	 0.000000000036917 	 0.072162723549363 	 25.694 	  1672.0000 	 3827751196.1722493172 	 0.000000000003250
100 	 80 	 0.000000000333750 	 0.000000000042083 	 0.109682995914005 	 25.421 	  1948.9051 	 2996254681.6479396820 	 0.000000000028200
2 	 20 	 0.000000008950000 	 0.000000001700000 	 0.088615172936464 	 9.995 	 1193333.3333 	 111731843.5754190087 	 0.000000000007450
5 	 20 	 0.000000002995000 	 0.000000000448333 	 0.058425199803698 	 19.645 	 1198000.0000 	 333889816.3606010079 	 0.000000000003200
8 	 20 	 0.000000003645000 	 0.000000000357000 	 0.074436745266630 	 29.799 	  4993.1507 	 274348422.4965706468 	 -0.000000000006550
10 	 20 	 0.000000003790000 	 0.000000000500000 	 0.130316430788917 	 23.314 	  8662.8571 	 263852242.7440633178 	 0.000000000006400
15 	 20 	 0.000000002680000 	 0.000000000406667 	 0.158986045562479 	 21.136 	  4155.0388 	 373134328.3582090139 	 0.000000000033700
25 	 20 	 0.000000002390000 	 0.000000000290000 	 0.188958824643930 	 26.681 	  3296.5517 	 418410041.8410041928 	 0.000000000004950
50 	 20 	 0.000000001495000 	 0.000000000215000 	 0.280180326196172 	 23.235 	  2006.7114 	 668896321.0702340603 	 0.000000000027200
75 	 20 	 0.000000000750000 	 0.000000000091667 	 0.179185092334761 	 27.002 	   738.9163 	 1333333333.3333334923 	 0.000000000019700
100 	 20 	 0.000000000835000 	 0.000000000100000 	 0.260632861577834 	 29.399 	   852.0408 	 1197604790.4191615582 	 0.000000000031600
