Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 5 	 80 	 0.000000005235000 	 0.000000000187621 	 0.024450072514175 	 4.745 	  2596.4042 	 3089.30041 	 191021967.5262655020 	 0.000000000519800 	 0.000000000002016 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000003226250 	 0.000000000128141 	 0.026718142593908 	 4.310 	  3230.2879 	 3498.94851 	 309957380.8601317406 	 0.000000000506000 	 0.000000000000999 	 True 	 True 	 True 	 True 
True 	 10 	 80 	 0.000000005205000 	 0.000000000219849 	 0.057299938160956 	 5.667 	  3688.2197 	 2802.15145 	 192122958.6935639083 	 0.000000000519200 	 0.000000000001411 	 True 	 True 	 True 	 True 
True 	 15 	 80 	 0.000000002132500 	 0.000000000094608 	 0.036986795248072 	 8.470 	  1954.1810 	 3602.37359 	 468933177.0222742558 	 0.000000000499500 	 0.000000000001091 	 True 	 True 	 True 	 True 
False 	 25 	 80 	 0.000000001277250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004144 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 0.000000000999875 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004457 	 True 	 True 	 False 	 True 
False 	 75 	 80 	 0.000000000406250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004609 	 True 	 True 	 False 	 True 
False 	 100 	 80 	 0.000000000460125 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004732 	 True 	 True 	 False 	 True 
True 	 2 	 20 	 0.000000008970000 	 0.000000000342095 	 0.017832244491410 	 4.263 	  8970.0000 	 3540.10506 	 111482720.1783723533 	 0.000000000503200 	 0.000000000001000 	 True 	 True 	 True 	 True 
True 	 5 	 20 	 0.000000010190000 	 0.000000000401624 	 0.052338141318007 	 6.677 	  3483.7607 	 3183.89196 	 98135426.8891069591 	 0.000000000524200 	 0.000000000002925 	 True 	 True 	 True 	 True 
True 	 8 	 20 	 0.000000006475000 	 0.000000000316583 	 0.066009528761421 	 6.150 	 33205.1282 	 3501.78999 	 154440154.4401544631 	 0.000000000467400 	 0.000000000000195 	 True 	 True 	 True 	 True 
True 	 10 	 20 	 0.000000007465000 	 0.000000000344028 	 0.089664958177144 	 9.154 	  2056.4738 	 2749.19369 	 133958472.8734092414 	 0.000000000481200 	 0.000000000003630 	 True 	 True 	 True 	 True 
True 	 15 	 20 	 0.000000008040000 	 0.000000000346734 	 0.135555282277918 	 6.912 	  2091.0273 	 3108.78559 	 124378109.4527363032 	 0.000000000523400 	 0.000000000003845 	 True 	 True 	 True 	 True 
False 	 25 	 20 	 0.000000003252000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000019890 	 True 	 True 	 False 	 True 
False 	 50 	 20 	 0.000000000318700 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014430 	 True 	 True 	 False 	 True 
False 	 75 	 20 	 0.000000000855000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000020380 	 True 	 True 	 False 	 True 
False 	 100 	 20 	 0.000000000671000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000021755 	 True 	 True 	 False 	 True 
True 	 2 	 5 	 0.000000078940000 	 0.000000002620796 	 0.136613127290121 	 1.254 	  2665.0912 	 3400.46084 	 12667848.9992399290 	 0.000000000492800 	 0.000000000029620 	 True 	 True 	 True 	 True 
True 	 5 	 5 	 0.000000060480000 	 0.000000002101276 	 0.273830737444358 	 2.772 	  2403.8156 	 3656.86073 	 16534391.5343915336 	 0.000000000503700 	 0.000000000025160 	 True 	 True 	 True 	 True 
True 	 8 	 5 	 0.000000044060000 	 0.000000001668342 	 0.347859738869711 	 2.347 	  2157.6885 	 3698.58635 	 22696323.1956423074 	 0.000000000478900 	 0.000000000020420 	 True 	 True 	 True 	 True 
False 	 10 	 5 	 0.000000040920000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000067040 	 True 	 True 	 False 	 True 
False 	 15 	 5 	 0.000000033140000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000075860 	 True 	 True 	 False 	 True 
True 	 25 	 5 	 0.000000014306000 	 0.000000000570236 	 0.371555467143043 	 6.149 	 32513.6364 	  589.82776 	 69900740.9478540421 	 0.000000000500100 	 0.000000000000440 	 True 	 True 	 True 	 True 
True 	 50 	 5 	 0.000000008692000 	 0.000000000317433 	 0.413667773343095 	 5.194 	  1923.0088 	    0.00000 	 115048320.2945237011 	 0.000000000491000 	 0.000000000004520 	 True 	 True 	 True 	 True 
False 	 75 	 5 	 -0.000000000000300 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000040940 	 True 	 True 	 False 	 True 
False 	 100 	 5 	 -0.000000000000040 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 2 	 80 	 0.000000008458750 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000041912 	 True 	 True 	 False 	 True 
False 	 5 	 80 	 0.000000005705000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000019625 	 True 	 True 	 False 	 True 
False 	 8 	 80 	 0.000000007806250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000021775 	 True 	 True 	 False 	 True 
False 	 10 	 80 	 0.000000007265000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000020838 	 True 	 True 	 False 	 True 
False 	 15 	 80 	 0.000000006037500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000011834 	 True 	 True 	 False 	 True 
False 	 25 	 80 	 0.000000006077500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000017300 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 0.000000002070000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006925 	 True 	 True 	 False 	 True 
