Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 False 	 2 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002707 	 True 	 True 	 False 	 True 	 30 
1 	 True 	 4 	 100 	 0.000000000621200 	 0.000000000027217 	 0.002837501509520 	 -8.660 	 1399300.0000 	    0.00000 	 1609787508.0489375591 	 0.000000000227350 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 100 	 0.000000000721600 	 0.000000000033370 	 0.005218439828062 	 -11.059 	 534800.0000 	    0.00000 	 1385809312.6385807991 	 0.000000000343000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 100 	 0.000000000556100 	 0.000000000022740 	 0.004741453251448 	 -8.833 	 1198900.0000 	    0.00000 	 1798237727.0275130272 	 0.000000000226650 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 100 	 0.000000000590900 	 0.000000000026535 	 0.006915935654920 	 -8.721 	 1338200.0000 	    0.00000 	 1692333728.2112030983 	 0.000000000221550 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
5 	 True 	 20 	 100 	 0.000000000788550 	 0.000000000049800 	 0.025959046771598 	 -6.113 	 2087000.0000 	    0.00000 	 1268150402.6377530098 	 0.000000000216250 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
6 	 True 	 40 	 100 	 0.000000000897250 	 0.000000000047733 	 0.049762994935435 	 -6.789 	 1017000.0000 	    0.00000 	 1114516578.4341042042 	 0.000000000214650 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
7 	 True 	 80 	 100 	 0.000000000274850 	 0.000000000013602 	 0.028360928884645 	 -6.129 	 594500.0000 	    0.00000 	 3638348189.9217753410 	 0.000000000223550 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 100 	 100 	 0.000000000350750 	 0.000000000016814 	 0.043823844294324 	 -6.101 	 760300.0000 	    0.00000 	 2851033499.6436209679 	 0.000000000228500 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 2 	 50 	 0.000000004861000 	 0.000000000183018 	 0.009540099527183 	 -8.923 	 4973000.0000 	    0.00000 	 205718987.8625797033 	 0.000000000355850 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 4 	 50 	 0.000000002740000 	 0.000000000109258 	 0.011390468408820 	 -6.942 	 249090.9091 	    0.00000 	 364963503.6496350765 	 0.000000006922000 	 0.000000000000011 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 6 	 50 	 0.000000002933000 	 0.000000000128322 	 0.020066995732345 	 -7.320 	 2991000.0000 	    0.00000 	 340947834.9812479019 	 0.000000000244500 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
