Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000004950000 	 0.000000000183088 	 0.009543762137188 	 -0.305 	 4080000.0000 	    0.00000 	 202020202.0202020109 	 0.000000000233000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 80 	 0.000000006387500 	 0.000000000222500 	 0.023196324680427 	 15.454 	 10220000.0000 	 1205.63236 	 156555772.9941291809 	 0.000000000224000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 80 	 0.000000003100000 	 0.000000000104412 	 0.016327882210611 	 16.366 	 4960000.0000 	 1691.24861 	 322580645.1612902880 	 0.000000000221000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 80 	 0.000000003050000 	 0.000000000087353 	 0.018213637620851 	 14.285 	 4880000.0000 	    0.00000 	 327868852.4590163827 	 0.000000000226000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 80 	 0.000000001625000 	 0.000000000078676 	 0.020505673668256 	 45.877 	  1741.1765 	 1516.40753 	 615384615.3846154213 	 0.000000000245000 	 0.000000000001062 	 True 	 True 	 True 	 True 	 0 
5 	 True 	 20 	 80 	 0.000000002025000 	 0.000000000079118 	 0.041241317508493 	 16.577 	 3240000.0000 	    0.00000 	 493827160.4938271642 	 0.000000000218000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
6 	 True 	 100 	 80 	 0.000000000551250 	 0.000000000037636 	 0.098091860440158 	 35.265 	  1176.0000 	    0.00000 	 1814058956.9160997868 	 0.000000000214000 	 0.000000000000469 	 True 	 True 	 True 	 True 	 0 
7 	 True 	 2 	 20 	 0.000000018300000 	 0.000000000500588 	 0.026093948847381 	 -1.732 	 7320000.0000 	    0.00000 	 54644808.7431693897 	 0.000000000228000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 4 	 20 	 0.000000024200000 	 0.000000000799118 	 0.083310527636115 	 15.757 	 9680000.0000 	 1577.06920 	 41322314.0495867729 	 0.000000000225000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 6 	 20 	 0.000000021400000 	 0.000000000729559 	 0.114088202319497 	 16.424 	 2853333.3333 	 1639.97452 	 46728971.9626168162 	 0.000000000223000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 8 	 20 	 0.000000016900000 	 0.000000000599118 	 0.124919797419776 	 18.008 	 6760000.0000 	 1511.29563 	 59171597.6331361011 	 0.000000000220000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 10 	 20 	 0.000000011750000 	 0.000000000383676 	 0.099998696449496 	 16.213 	 4700000.0000 	 1970.99547 	 85106382.9787234068 	 0.000000000218000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
12 	 True 	 20 	 20 	 0.000000005300000 	 0.000000000229706 	 0.119737802877817 	 18.625 	 793333.3333 	    0.00000 	 188679245.2830188870 	 0.000000000285000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
13 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000008900 	 True 	 True 	 False 	 True 	 30 
14 	 True 	 2 	 5 	 0.000000460000000 	 0.000000011017647 	 0.574312176159157 	 0.468 	 46400000.0000 	    0.00000 	 2173913.0434782607 	 0.000000000228000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
15 	 True 	 4 	 5 	 0.000000272000000 	 0.000000008405882 	 0.876339668693471 	 12.952 	 9066666.6667 	 1531.72284 	 3676470.5882352944 	 0.000000000220000 	 0.000000000000030 	 True 	 True 	 True 	 True 	 0 
16 	 True 	 6 	 5 	 0.000000142200000 	 0.000000005135294 	 0.803055840555704 	 27.740 	 29380.1653 	 1689.42062 	 7032348.8045007037 	 0.000000000220000 	 0.000000000004840 	 True 	 True 	 True 	 True 	 0 
