Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000083600000 	 0.000000009644670 	 0.502743590860797 	 41.781 	 13927.5302 	 11961722.4880382773 	 0.000000000653900
5 	 80 	 0.000000033000000 	 0.000000005772108 	 0.752200504193043 	 34.362 	 14915.2542 	 30303030.3030303046 	 0.000000000734400
8 	 80 	 0.000000018587500 	 0.000000002144670 	 0.447177193976183 	 43.402 	  7653.1137 	 53799596.5030262321 	 0.000000000597400
10 	 80 	 0.000000011778750 	 0.000000001827411 	 0.476283401868125 	 39.589 	  5756.2615 	 84898652.2338957936 	 0.000000000656400
15 	 80 	 0.000000005100000 	 0.000000000743655 	 0.290731326557001 	 40.749 	  2570.8885 	 196078431.3725489974 	 0.000000000669500
25 	 80 	 0.000000000482625 	 0.000000000124699 	 0.081251929028489 	 31.318 	   425.2203 	 2072002072.0020720959 	 0.000000000631800
50 	 80 	 0.000000000142250 	 0.000000000029321 	 0.038210601867710 	 32.781 	   111.8977 	 7029876977.1528997421 	 0.000000000547500
75 	 80 	 0.000000000128438 	 0.000000000023811 	 0.046544690999448 	 33.369 	   112.7881 	 7785888077.8588809967 	 0.000000000412700
100 	 80 	 0.000000000813625 	 0.000000000116751 	 0.304292173415746 	 40.723 	   415.3797 	 1229067445.0760486126 	 0.000000000562400
2 	 20 	 0.000000038365000 	 0.000000003472081 	 0.180987692709887 	 47.289 	  3081.5261 	 26065424.2147790939 	 0.000000000640700
5 	 20 	 0.000000010405000 	 0.000000001416244 	 0.184559818223898 	 43.539 	  1323.7913 	 96107640.5574243069 	 0.000000000591600
8 	 20 	 0.000000014795000 	 0.000000002695431 	 0.562014414204386 	 37.620 	  2367.2000 	 67590402.1628928781 	 0.000000000731600
10 	 20 	 0.000000008960000 	 0.000000001402084 	 0.365429136404081 	 39.260 	  1159.8706 	 111607142.8571428508 	 0.000000000747700
15 	 20 	 0.000000006000000 	 0.000000001020305 	 0.398887349064554 	 38.666 	   705.8824 	 166666666.6666666865 	 0.000000000635300
25 	 20 	 0.000000002197500 	 0.000000000290970 	 0.189590735736321 	 39.919 	   409.9813 	 455062571.1035267115 	 0.000000000754800
50 	 20 	 0.000000000904000 	 0.000000000114721 	 0.149500067808606 	 43.885 	    93.2921 	 1106194690.2654867172 	 0.000000000534700
75 	 20 	 0.000000001056500 	 0.000000000135533 	 0.264932642289144 	 44.370 	   130.2713 	 946521533.3648838997 	 0.000000000577700
