Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000290000 	 0.000000000052105 	 0.006790171920054 	 22.787 	  5728.3951 	 3448275862.0689654350 	 0.000000000104000
8 	 80 	 0.000000000172500 	 0.000000000021086 	 0.004396464849247 	 28.053 	  4000.0000 	 5797101449.2753620148 	 0.000000000033800
10 	 80 	 0.000000000116375 	 0.000000000022500 	 0.005864239385501 	 18.987 	  2516.2162 	 8592910848.5499458313 	 0.000000000129000
15 	 80 	 -0.000000000000629 	 0.000000000001588 	 0.000621017806855 	 -9.006 	   165.3333 	 -1590457256461.2326660156 	 0.000000000089900
25 	 80 	 0.000000000054500 	 0.000000000010066 	 0.006558688786416 	 20.412 	   213.7255 	 18348623853.2110099792 	 0.000000000338000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000000615000 	 0.000000000096447 	 0.005027470724646 	 3.780 	  2000.0000 	 1626016260.1626017094 	 0.000000000017100
5 	 20 	 0.000000005500000 	 0.000000001115789 	 0.145405701722371 	 19.122 	 59459.4595 	 181818181.8181818128 	 0.000000000060100
8 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
10 	 20 	 0.000000014550000 	 0.000000003052632 	 0.795616103763915 	 24.617 	 10620.4380 	 68728522.3367697597 	 0.000000000105000
15 	 20 	 -0.000000000000357 	 0.000000000014474 	 0.005658476600045 	 -9.120 	   233.5484 	 -2797202797202.7973632812 	 0.000000000011900
25 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 20 	 0.000000000000830 	 0.000000000000728 	 0.001422335254466 	 -8.563 	     5.6949 	 1204819277108.4338378906 	 -0.000000000020100
100 	 20 	 0.000000000000220 	 0.000000000000316 	 0.000824422893728 	 -9.200 	    89.1429 	 4545454545454.5458984375 	 -0.000000000001400
2 	 5 	 0.000000154400000 	 0.000000012000000 	 0.625518867786801 	 27.668 	 24276.7296 	 6476683.9378238339 	 0.000000000009800
5 	 5 	 0.000000028200000 	 0.000000006600000 	 0.860088443206852 	 21.873 	 44761.9048 	 35460992.9078014120 	 0.000000000014500
8 	 5 	 0.000000005320000 	 0.000000001231579 	 0.256791956249319 	 23.560 	 18344.8276 	 187969924.8120300770 	 0.000000000024400
10 	 5 	 0.000000013860000 	 0.000000002400000 	 0.625518867786803 	 32.405 	  4651.0067 	 72150072.1500721425 	 0.000000000005800
15 	 5 	 0.000000008140000 	 0.000000001400000 	 0.547329009313452 	 33.653 	  1884.2593 	 122850122.8501228392 	 -0.000000000001650
25 	 5 	 0.000000000852000 	 0.000000000181053 	 0.117970663661546 	 27.481 	  1852.1739 	 1173708920.1877934933 	 0.000000000002200
50 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 5 	 0.000000000364000 	 0.000000000080105 	 0.156585479732157 	 22.213 	 18200.0000 	 2747252747.2527475357 	 0.000000000004000
100 	 5 	 0.000000000274000 	 0.000000000060105 	 0.156654067327309 	 25.564 	   118.1034 	 3649635036.4963502884 	 0.000000000007900
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000186250 	 0.000000000027533 	 0.003587988571392 	 18.541 	   149.7487 	 5369127516.7785243988 	 0.000000049900000
8 	 80 	 0.000000000942500 	 0.000000000121809 	 0.025397986484808 	 20.933 	   725.0000 	 1061007957.5596816540 	 0.000000056700000
10 	 80 	 -0.000000000000771 	 0.000000000000234 	 0.000060871490697 	 -9.155 	   132.8358 	 -1296596434359.8054199219 	 0.000000001230000
15 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000001240000 	 0.000000000250000 	 0.013031643078892 	 3.795 	  2917.6471 	 806451612.9032256603 	 0.000000000253000
5 	 20 	 0.000000015050000 	 0.000000003552632 	 0.462966267276416 	 20.281 	 107500.0000 	 66445182.7242524922 	 0.000000000056700
8 	 20 	 0.000000019550000 	 0.000000004000000 	 0.834025157049071 	 27.383 	 115000.0000 	 51150895.1406649575 	 0.000000000091300
10 	 20 	 0.000000018600000 	 0.000000003500000 	 0.912215015522420 	 29.257 	 77500.0000 	 53763440.8602150530 	 0.000000000105000
15 	 20 	 -0.000000000005950 	 0.000000000000850 	 0.000332306898512 	 -9.074 	   176.0870 	 -168067226890.7562866211 	 0.000000000129000
25 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 20 	 0.000000000088000 	 0.000000000014263 	 0.018587238286209 	 27.441 	   112.8205 	 11363636363.6363639832 	 0.000000000293000
75 	 20 	 0.000000000001075 	 0.000000000000912 	 0.001782420129014 	 -8.512 	   284.6667 	 930232558139.5349121094 	 -0.000000000022100
