Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000012750000 	 0.000000001125000 	 0.058642393855013 	 36.508 	  7500.0000 	 78431372.5490196198 	 0.000000000008850
5 	 80 	 0.000000001512500 	 0.000000000265789 	 0.034636735551791 	 34.327 	 11634.6154 	 661157024.7933883667 	 0.000000000014000
8 	 80 	 0.000000008500000 	 0.000000001250000 	 0.260632861577834 	 36.770 	 29184.5494 	 117647058.8235294223 	 0.000000000065900
10 	 80 	 0.000000008125000 	 0.000000001625000 	 0.423528400063981 	 31.278 	 57017.5439 	 123076923.0769230723 	 0.000000000050300
15 	 80 	 0.000000001837500 	 0.000000000451316 	 0.176441588528678 	 19.994 	 18148.1481 	 544217687.0748299360 	 0.000000000011700
25 	 80 	 0.000000016750000 	 0.000000003250000 	 2.117642000319905 	 31.348 	 744444.4444 	 59701492.5373134315 	 0.000000000101000
50 	 80 	 0.000000003162500 	 0.000000000512500 	 0.667871707793201 	 39.726 	 28268.1564 	 316205533.5968379378 	 0.000000000004100
75 	 80 	 0.000000000163750 	 0.000000000028553 	 0.055813155554990 	 34.519 	  3082.3529 	 6106870229.0076341629 	 0.000000000008350
100 	 80 	 0.000000000272500 	 0.000000000050000 	 0.130316430788917 	 37.156 	   465.8120 	 3669724770.6422019005 	 0.000000000004400
2 	 20 	 0.000000011650000 	 0.000000002052632 	 0.106996648437216 	 35.190 	  3640.6250 	 85836909.8712446392 	 0.000000000011800
5 	 20 	 0.000000020500000 	 0.000000004000000 	 0.521265723155669 	 34.401 	 37272.7273 	 48780487.8048780486 	 0.000000000008650
8 	 20 	 0.000000019950000 	 0.000000003500000 	 0.729772012417936 	 36.881 	 306923.0769 	 50125313.2832080200 	 0.000000000019800
10 	 20 	 0.000000013750000 	 0.000000002250000 	 0.586423938550127 	 37.210 	 423076.9231 	 72727272.7272727191 	 0.000000000172000
15 	 20 	 0.000000018100000 	 0.000000001750000 	 0.684161261641815 	 44.151 	 48918.9189 	 55248618.7845303863 	 0.000000000012000
25 	 20 	 0.000000011400000 	 0.000000001913158 	 1.246579541888721 	 36.061 	 14709.6774 	 87719298.2456140369 	 0.000000000120000
50 	 20 	 0.000000001320000 	 0.000000000240000 	 0.312759433893401 	 37.641 	  3341.7722 	 757575757.5757575035 	 0.000000000103000
75 	 20 	 0.000000003240000 	 0.000000000400000 	 0.781898584733504 	 45.972 	  1288.2704 	 308641975.3086419702 	 0.000000000005650
100 	 20 	 0.000000001615000 	 0.000000000295000 	 0.768866941654612 	 38.958 	  2258.7413 	 619195046.4396284819 	 0.000000000009900
2 	 5 	 0.000000000390000 	 0.000000000058579 	 0.003053519736170 	 3.724 	 39000.0000 	 2564102564.1025638580 	 0.000000000263000
5 	 5 	 0.000000000954000 	 0.000000000197895 	 0.025788935777175 	 25.219 	  4147.8261 	 1048218029.3501048088 	 0.000000000153000
8 	 5 	 0.000000000146400 	 0.000000000028842 	 0.006013760342933 	 27.038 	 14640.0000 	 6830601092.8961753845 	 0.000000000116000
10 	 5 	 0.000000000208000 	 0.000000000040316 	 0.010507619577296 	 30.057 	  6933.3333 	 4807692307.6923074722 	 0.000000000055100
15 	 5 	 0.000000001640000 	 0.000000000321053 	 0.125515299128273 	 35.323 	  1673.4694 	 609756097.5609755516 	 0.000000000135000
25 	 5 	 0.000000002640000 	 0.000000000480000 	 0.312759433893401 	 36.887 	  1434.7826 	 378787878.7878787518 	 0.000000000305000
50 	 5 	 0.000000001400000 	 0.000000000160000 	 0.208506289262268 	 46.514 	  1400.0000 	 714285714.2857143879 	 0.000000000111000
75 	 5 	 0.000000000810000 	 0.000000000128316 	 0.250824835471089 	 42.563 	   653.2258 	 1234567901.2345678806 	 0.000000000317000
100 	 5 	 0.000000000854000 	 0.000000000116000 	 0.302334119430288 	 45.326 	  1169.8630 	 1170960187.3536298275 	 0.000000000340000
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000017250000 	 0.000000001000000 	 0.130316430788917 	 46.835 	 110400.0000 	 57971014.4927536249 	 0.000000000110000
8 	 80 	 0.000000012075000 	 0.000000002940789 	 0.613173100659432 	 17.947 	 1610000.0000 	 82815734.9896480441 	 0.000000000019700
10 	 80 	 0.000000000290000 	 0.000000000040625 	 0.010588210001600 	 27.254 	  9469.3878 	 3448275862.0689654350 	 0.000000000041500
15 	 80 	 0.000000010575000 	 0.000000002381579 	 0.931076604189237 	 27.555 	 57945.2055 	 94562647.7541370988 	 0.000000000034300
25 	 80 	 0.000000000000339 	 0.000000000000318 	 0.000207134537359 	 -9.365 	   275.0000 	 2952029520295.2031250000 	 -0.000000000034800
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000013875 	 0.000000000000578 	 0.001130409302600 	 41.923 	    73.7179 	 72072072072.0720672607 	 0.000000000572000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000029750000 	 0.000000006578947 	 0.342937975760308 	 16.816 	  8321.6783 	 33613445.3781512603 	 0.000000000013400
5 	 20 	 0.000000008450000 	 0.000000001560526 	 0.203362219625863 	 25.188 	  9086.0215 	 118343195.2662722021 	 0.000000000008650
8 	 20 	 0.000000043850000 	 0.000000010000000 	 2.085062892622673 	 24.530 	 46898.3957 	 22805017.1037628278 	 0.000000000007550
10 	 20 	 0.000000014900000 	 0.000000002523684 	 0.657755037508271 	 34.119 	 51826.0870 	 67114093.9597315490 	 0.000000000009550
