Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
57 	 True 	 4 	 5 	 0.000000078000000 	 0.000000002525882 	 0.263331178262405 	 16.389 	 7800000.0000 	 1018.63164 	 12820512.8205128200 	 0.000000000202000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
58 	 True 	 6 	 5 	 0.000000051000000 	 0.000000001756471 	 0.274676373413440 	 16.679 	 1305000.0000 	 1708.31647 	 19607843.1372549050 	 0.000000000209000 	 0.000000000000040 	 True 	 True 	 True 	 True 	 0 
59 	 True 	 8 	 5 	 0.000000041800000 	 0.000000001639412 	 0.341827663631729 	 26.121 	  7166.1238 	 1634.19590 	 23923444.9760765545 	 0.000000000203000 	 0.000000000006140 	 True 	 True 	 True 	 True 	 0 
60 	 True 	 10 	 5 	 0.000000057000000 	 0.000000001904118 	 0.496275631133794 	 17.684 	 2850000.0000 	    0.00000 	 17543859.6491228044 	 0.000000000206000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
61 	 True 	 20 	 5 	 0.000000018460000 	 0.000000000940000 	 0.489989779766328 	 39.063 	  1276.6252 	 1735.25903 	 54171180.9317443147 	 0.000000000204000 	 0.000000000014460 	 True 	 True 	 True 	 True 	 0 
62 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000029200 	 True 	 True 	 False 	 True 	 30 
63 	 False 	 2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001925 	 True 	 True 	 False 	 True 	 30 
64 	 True 	 4 	 80 	 0.000000003450000 	 0.000000000121434 	 0.012659857967523 	 13.857 	 5580000.0000 	 1710.93274 	 289855072.4637681246 	 0.000000000259000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
65 	 True 	 6 	 80 	 0.000000003275000 	 0.000000000106250 	 0.016615344925587 	 13.616 	 873333.3333 	 1722.37876 	 305343511.4503816962 	 0.000000000224000 	 0.000000000000004 	 True 	 True 	 True 	 True 	 0 
66 	 False 	 8 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001362 	 True 	 True 	 False 	 True 	 30 
67 	 True 	 10 	 80 	 0.000000000482500 	 0.000000000027059 	 0.007052418607400 	 28.963 	  1715.5556 	 1963.22987 	 2072538860.1036267281 	 0.000000000216000 	 0.000000000000281 	 True 	 True 	 True 	 True 	 0 
68 	 True 	 20 	 80 	 0.000000000141250 	 0.000000000006857 	 0.003574119756196 	 16.944 	 18142.8571 	    0.00000 	 7079646017.6991157532 	 0.000000000232000 	 0.000000000000009 	 True 	 True 	 True 	 True 	 0 
69 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001537 	 True 	 True 	 False 	 True 	 30 
70 	 False 	 2 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 	 30 
71 	 True 	 4 	 20 	 0.000000024150000 	 0.000000000791176 	 0.082482635016985 	 15.520 	 9660000.0000 	    0.00000 	 41407867.4948240221 	 0.000000000231000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
72 	 True 	 6 	 20 	 0.000000020100000 	 0.000000000653676 	 0.102221741445307 	 17.019 	 893333.3333 	 1591.17332 	 49751243.7810945213 	 0.000000000218000 	 0.000000000000022 	 True 	 True 	 True 	 True 	 0 
73 	 True 	 8 	 20 	 0.000000018200000 	 0.000000000614559 	 0.128139379827502 	 19.127 	 2426666.6667 	 1193.12167 	 54945054.9450549483 	 0.000000000239000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
74 	 True 	 10 	 20 	 0.000000000675000 	 0.000000000022353 	 0.005825911023505 	 13.734 	 90000.0000 	    0.00000 	 1481481481.4814815521 	 0.000000000207000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
75 	 False 	 20 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005150 	 True 	 True 	 False 	 True 	 30 
76 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000008050 	 True 	 True 	 False 	 True 	 30 
