Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000004697500 	 0.000000000151695 	 0.007907356651112 	 -5.527 	 215527.7778 	    0.00000 	 212879191.0590739548 	 0.000000000223700 	 0.000000000000022 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 5 	 80 	 0.000000000180188 	 0.000000000005622 	 0.000732696438701 	 14.379 	 57660.0000 	    0.00000 	 5549774540.4092960358 	 0.000000000188900 	 0.000000000000003 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 8 	 80 	 0.000000000208312 	 0.000000000007784 	 0.001622990053552 	 14.010 	 14491.3043 	    0.00000 	 4800480048.0047998428 	 0.000000000195450 	 0.000000000000014 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 15 	 80 	 0.000000000179375 	 0.000000000007230 	 0.002826430825973 	 16.287 	  2678.1818 	    0.00000 	 5574912891.9860630035 	 0.000000000167650 	 0.000000000000069 	 True 	 True 	 True 	 True 	 0 
4 	 False 	 25 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001266 	 True 	 True 	 False 	 True 	 30 
5 	 True 	 50 	 80 	 0.000000000139375 	 0.000000000005695 	 0.007421325121851 	 16.404 	  1641.1392 	    0.00000 	 7174887892.3766813278 	 0.000000000174450 	 0.000000000000099 	 True 	 True 	 True 	 True 	 0 
6 	 True 	 100 	 80 	 0.000000000087831 	 0.000000000003327 	 0.008669954443620 	 23.479 	  2007.5714 	    0.00000 	 11385469294.8124961853 	 0.000000000190250 	 0.000000000000044 	 True 	 True 	 True 	 True 	 0 
7 	 True 	 2 	 20 	 0.000000004796500 	 0.000000000165313 	 0.008617189061430 	 -4.680 	 982400.0000 	    0.00000 	 208485353.9038882256 	 0.000000000207750 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 5 	 20 	 0.000000000670750 	 0.000000000020995 	 0.002735964961354 	 11.177 	 38328.5714 	    0.00000 	 1490868430.8609766960 	 0.000000000181500 	 0.000000000000018 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 8 	 20 	 0.000000000983250 	 0.000000000031271 	 0.006520200730914 	 12.886 	  9832.5000 	    0.00000 	 1017035341.9781336784 	 0.000000000250450 	 0.000000000000100 	 True 	 True 	 True 	 True 	 0 
