Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 2 	 80 	 0.000000719062500 	 0.000000023430147 	 1.221333255026131 	 19.028 	 3711290.3226 	 1912.18044 	 1390699.6957844414 	 0.000000000079050 	 0.000000000000194 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000361500000 	 0.000000014860294 	 1.936540489885305 	 26.222 	 1268421.0526 	 3196.08582 	 2766251.7289073304 	 0.000000000014800 	 0.000000000000285 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000118168750 	 0.000000003847059 	 0.802135959867783 	 15.519 	 270873.9255 	 1824.22907 	 8462474.2158988733 	 0.000000000076300 	 0.000000000000436 	 True 	 True 	 True 	 True 
True 	 10 	 80 	 0.000000122456250 	 0.000000004080515 	 1.063516224504553 	 14.870 	 225986.1592 	  691.24925 	 8166181.7996223141 	 0.000000000066400 	 0.000000000000542 	 True 	 True 	 True 	 True 
True 	 15 	 80 	 0.000000132818750 	 0.000000005246507 	 2.051118337029311 	 25.765 	 377460.0355 	 1023.10350 	 7529057.4561197124 	 0.000000000124700 	 0.000000000000352 	 True 	 True 	 True 	 True 
True 	 25 	 80 	 0.000000109237500 	 0.000000004245588 	 2.766349527114735 	 25.342 	 236508.7957 	 2299.11301 	 9154365.4880421087 	 0.000000000123800 	 0.000000000000462 	 True 	 True 	 True 	 True 
True 	 50 	 80 	 0.000000055506250 	 0.000000002077941 	 2.707898775069706 	 23.136 	 100124.0135 	 1215.67940 	 18015989.1904064864 	 0.000000000290600 	 0.000000000000554 	 True 	 True 	 True 	 True 
True 	 75 	 80 	 0.000000035593750 	 0.000000001197537 	 2.340880753724668 	 21.641 	 63137.4723 	 2463.37467 	 28094820.0175592639 	 0.000000000254850 	 0.000000000000564 	 True 	 True 	 True 	 True 
True 	 100 	 80 	 0.000000017256250 	 0.000000000479540 	 1.249839974261208 	 15.241 	 57401.2474 	 2111.12964 	 57950018.1093806624 	 0.000000000157300 	 0.000000000000301 	 True 	 True 	 True 	 True 
True 	 2 	 20 	 0.000000019075000 	 0.000000000625000 	 0.032579107697229 	 30.678 	  7509.8425 	 2231.16716 	 52424639.5806028768 	 -0.000000000028000 	 0.000000000002540 	 True 	 True 	 True 	 True 
True 	 5 	 20 	 0.000000013057500 	 0.000000000762500 	 0.099366278476550 	 32.162 	 870500.0000 	 3172.79999 	 76584338.5027761906 	 0.000000000075000 	 0.000000000000015 	 True 	 True 	 True 	 True 
True 	 8 	 20 	 0.000000008325000 	 0.000000000408515 	 0.085177885432596 	 30.795 	 20060.2410 	  593.53393 	 120120120.1201201230 	 0.000000000050900 	 0.000000000000415 	 True 	 True 	 True 	 True 
True 	 10 	 20 	 0.000000004049500 	 0.000000000201140 	 0.052423617121042 	 32.239 	 14998.1481 	 3054.50684 	 246944067.1687862575 	 0.000000000048700 	 0.000000000000270 	 True 	 True 	 True 	 True 
True 	 15 	 20 	 0.000000002802750 	 0.000000000159838 	 0.062488644981386 	 34.403 	 11439.7959 	 3074.69177 	 356792436.0003567338 	 0.000000000035100 	 0.000000000000245 	 True 	 True 	 True 	 True 
True 	 25 	 20 	 0.000000001898500 	 0.000000000098779 	 0.064362901883026 	 32.448 	  5753.0303 	 3572.44032 	 526731630.2343955636 	 0.000000000059050 	 0.000000000000330 	 True 	 True 	 True 	 True 
True 	 50 	 20 	 0.000000001135750 	 0.000000000067015 	 0.087331172809573 	 33.941 	  5282.5581 	 3580.28692 	 880475456.7466431856 	 0.000000000103950 	 0.000000000000215 	 True 	 True 	 True 	 True 
True 	 75 	 20 	 0.000000000517475 	 0.000000000027118 	 0.053008124641492 	 36.800 	  6677.0968 	 3665.83784 	 1932460505.3384222984 	 0.000000000056100 	 0.000000000000077 	 True 	 True 	 True 	 True 
True 	 100 	 20 	 0.000000000289600 	 0.000000000022884 	 0.059642764103128 	 41.770 	 10530.9091 	 3165.01087 	 3453038674.0331497192 	 0.000000000122250 	 0.000000000000027 	 True 	 True 	 True 	 True 
True 	 2 	 5 	 0.000000023970000 	 0.000000000914941 	 0.047692747399784 	 35.063 	  1022.1748 	 2534.25201 	 41718815.1856487244 	 -0.000000000013200 	 0.000000000023450 	 True 	 True 	 True 	 True 
