Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 100 	 0.000000001061500 	 0.000000000070354 	 0.003667329469735 	 -8.474 	 2975000.0000 	    0.00000 	 942063118.2289215326 	 0.000000000239350 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 100 	 0.000000001090500 	 0.000000000051199 	 0.005337677444324 	 -9.713 	 2391000.0000 	    0.00000 	 917010545.6212745905 	 0.000000000223800 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 100 	 0.000000000434450 	 0.000000000021421 	 0.003349772953344 	 -8.289 	 1001000.0000 	    0.00000 	 2301760847.0479917526 	 0.000000000228050 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 100 	 0.000000000235000 	 0.000000000018093 	 0.003772481267298 	 -7.868 	 675700.0000 	    0.00000 	 4255319148.9361705780 	 0.000000000231850 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
4 	 True 	 10 	 100 	 0.000000000188250 	 0.000000000012204 	 0.003180728064332 	 -7.610 	 560900.0000 	    0.00000 	 5312084993.3598937988 	 0.000000000219700 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
5 	 False 	 20 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002021 	 True 	 True 	 False 	 True 	 30 
6 	 False 	 40 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002100 	 True 	 True 	 False 	 True 	 30 
7 	 True 	 80 	 100 	 0.000000000146900 	 0.000000000011836 	 0.024679667159627 	 -6.730 	 438100.0000 	    0.00000 	 6807351940.0953025818 	 0.000000000234000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 100 	 100 	 0.000000000184700 	 0.000000000011535 	 0.030063243041222 	 -6.886 	 233200.0000 	    0.00000 	 5414185165.1326475143 	 0.000000000220000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 2 	 50 	 0.000000007522000 	 0.000000000330719 	 0.017239270208298 	 -8.039 	 7915000.0000 	    0.00000 	 132943366.1260303110 	 0.000000000222300 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 4 	 50 	 0.000000004310000 	 0.000000000202144 	 0.021074135753153 	 -9.215 	 2378500.0000 	    0.00000 	 232018561.4849188030 	 0.000000000218900 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 6 	 50 	 0.000000003316000 	 0.000000000157763 	 0.024670974956557 	 -8.475 	 3649000.0000 	    0.00000 	 301568154.4028950930 	 0.000000000217200 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
12 	 True 	 8 	 50 	 0.000000001868000 	 0.000000000084462 	 0.017610835678829 	 -8.526 	 1025000.0000 	    0.00000 	 535331905.7815846205 	 0.000000000225050 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
13 	 False 	 10 	 50 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002533 	 True 	 True 	 False 	 True 	 30 
14 	 True 	 20 	 50 	 0.000000000284300 	 0.000000000014689 	 0.007656935734881 	 -7.379 	 347200.0000 	    0.00000 	 3517411185.3675694466 	 0.000000000216850 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
15 	 False 	 40 	 50 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001840 	 True 	 True 	 False 	 True 	 30 
16 	 True 	 80 	 50 	 0.000000000913800 	 0.000000000042144 	 0.087872788086323 	 -5.264 	 456900.0000 	    0.00000 	 1094331363.5368788242 	 0.000000000220150 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
17 	 True 	 100 	 50 	 0.000000000738600 	 0.000000000045345 	 0.118182816287328 	 -4.599 	 998200.0000 	    0.00000 	 1353912808.0151638985 	 0.000000000226300 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
