Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 False 	 2 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000010000500000 	 True 	 True 	 True 	 False 	 40 
1 	 False 	 4 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000001790500000 	 True 	 True 	 False 	 True 	 30 
2 	 False 	 6 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000004499000000 	 True 	 True 	 False 	 True 	 30 
3 	 False 	 8 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000083955000 	 True 	 True 	 False 	 True 	 30 
4 	 False 	 10 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000010000500000 	 True 	 True 	 True 	 False 	 40 
5 	 True 	 20 	 100 	 0.000010000500000 	 0.000000587223824 	 306.099651026295589 	 27.290 	 10000500000.0000 	  833.00609 	 99995.0002499875 	 0.000000000335500 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
6 	 False 	 40 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000010000500000 	 True 	 True 	 True 	 False 	 40 
7 	 True 	 80 	 100 	 0.000000010586000 	 0.000000000268397 	 0.559624747842006 	 -0.706 	 7057333.3333 	  145.24032 	 94464386.9261288494 	 0.000000000391500 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
8 	 True 	 100 	 100 	 0.000000013745000 	 0.000000000390574 	 1.017962966271427 	 -0.819 	 1374500.0000 	    0.00000 	 72753728.6285922229 	 0.000000000367500 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
9 	 False 	 2 	 50 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000047760000 	 True 	 True 	 False 	 True 	 30 
10 	 False 	 4 	 50 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000020001000000 	 True 	 True 	 True 	 False 	 40 
