Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000002137500 	 0.000000000123645 	 0.006445165976601 	 51.204 	   423.2673 	 467836257.3099415302 	 0.000000000620000
5 	 80 	 0.000000001166250 	 0.000000000168276 	 0.021929074078140 	 33.459 	   691.1111 	 857449088.9603430033 	 0.000000000612000
8 	 80 	 0.000000000266250 	 0.000000000040201 	 0.008382162382403 	 35.928 	   150.0000 	 3755868544.6009392738 	 0.000000000651000
10 	 80 	 0.000000000215000 	 0.000000000033457 	 0.008719930438930 	 29.260 	   227.2127 	 4651162790.6976747513 	 0.000000000576000
15 	 80 	 0.000000000255000 	 0.000000000039077 	 0.015277111332237 	 31.815 	   321.2598 	 3921568627.4509806633 	 0.000000000551000
25 	 80 	 0.000000000142500 	 0.000000000022613 	 0.014734269812817 	 36.625 	   197.9167 	 7017543859.6491231918 	 0.000000000454000
50 	 80 	 0.000000000043750 	 0.000000000006281 	 0.008185705451565 	 32.088 	    87.7193 	 22857142857.1428604126 	 0.000000000652000
75 	 80 	 0.000000000041375 	 0.000000000003940 	 0.007701240936813 	 37.883 	    43.4954 	 24169184290.0302124023 	 0.000000000694000
100 	 80 	 0.000000000021000 	 0.000000000002698 	 0.007031090156292 	 44.120 	    15.8491 	 47619047619.0476226807 	 0.000000000689000
2 	 20 	 0.000000001465000 	 0.000000000178921 	 0.009326534295552 	 29.770 	   404.6961 	 682593856.6552901268 	 0.000000000678000
5 	 20 	 0.000000000970000 	 0.000000000142026 	 0.018508310852592 	 32.804 	   294.8328 	 1030927835.0515465736 	 0.000000000540000
8 	 20 	 0.000000000366000 	 0.000000000052499 	 0.010946442321756 	 30.888 	    82.1549 	 2732240437.1584696770 	 0.000000000448000
10 	 20 	 0.000000000312500 	 0.000000000049458 	 0.012890331953202 	 33.084 	    93.2836 	 3200000000.0000000000 	 0.000000000692000
15 	 20 	 0.000000000510000 	 0.000000000090452 	 0.035362247550762 	 38.163 	   170.2838 	 1960784313.7254903316 	 0.000000000484000
25 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 20 	 0.000000000105000 	 0.000000000015234 	 0.019852489853059 	 37.597 	    32.3575 	 9523809523.8095226288 	 0.000000000830000
75 	 20 	 0.000000000088500 	 0.000000000010764 	 0.021041571276550 	 44.696 	    18.0061 	 11299435028.2485866547 	 0.000000000704000
100 	 20 	 0.000000000034450 	 0.000000000002788 	 0.007265459828168 	 50.889 	     1.0000 	 29027576197.3875198364 	 0.000000000500000
2 	 5 	 0.000000030000000 	 0.000000001809045 	 0.094299326802031 	 45.347 	   303.0303 	 33333333.3333333358 	 0.000000000675000
5 	 5 	 0.000000001384000 	 0.000000000202592 	 0.026401054214311 	 27.839 	   213.5802 	 722543352.6011561155 	 0.000000000541000
8 	 5 	 0.000000000151800 	 0.000000000021264 	 0.004433722733850 	 29.719 	    18.5122 	 6587615283.2674579620 	 0.000000000274000
10 	 5 	 0.000000000618000 	 0.000000000070987 	 0.018501417626948 	 31.343 	    86.0724 	 1618122977.3462784290 	 0.000000000633000
15 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 80 	 0.000000000533750 	 0.000000000021357 	 0.001113255941413 	 50.061 	    83.0739 	 1873536299.7658081055 	 0.000000000765000
5 	 80 	 0.000000000018500 	 0.000000000002036 	 0.000265389187272 	 27.204 	   493.3333 	 54054054054.0540466309 	 0.000000000745000
8 	 80 	 0.000000000426250 	 0.000000000041457 	 0.008644104956853 	 49.895 	   120.0704 	 2346041055.7184748650 	 0.000000000750000
10 	 80 	 -0.000000000000770 	 0.000000000001258 	 0.000327859044665 	 -8.932 	   180.0000 	 -1298701298701.2985839844 	 0.000000000399000
15 	 80 	 0.000000000000043 	 0.000000000002136 	 0.000834941956060 	 -8.806 	   297.7778 	 23529411764705.8828125000 	 0.000000000348000
25 	 80 	 0.000000000000555 	 0.000000000001184 	 0.000771179618858 	 -8.876 	    17.9853 	 1801801801801.8017578125 	 0.000000000274000
50 	 80 	 -0.000000000000033 	 0.000000000000694 	 0.000904735865699 	 -9.097 	   426.0000 	 -30769230769230.7734375000 	 0.000000000292000
75 	 80 	 -0.000000000000529 	 0.000000000000326 	 0.000636546305510 	 -9.095 	   263.6111 	 -1891252955082.7421875000 	 0.000000000292000
100 	 80 	 -0.000000000000612 	 0.000000000000277 	 0.000721203732943 	 -8.312 	   332.2581 	 -1632653061224.4897460938 	 0.000000000233000
2 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 20 	 0.000000000442000 	 0.000000000059389 	 0.007739369091153 	 28.325 	   480.4348 	 2262443438.9140272141 	 0.000000000556000
8 	 20 	 0.000000000685000 	 0.000000000065327 	 0.013621013871405 	 45.935 	    93.8356 	 1459854014.5985400677 	 0.000000000829000
10 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
15 	 20 	 0.000000000045350 	 0.000000000006501 	 0.002541532294730 	 40.962 	    12.6323 	 22050716648.2910690308 	 0.000000000438000
25 	 20 	 0.000000000016600 	 0.000000000001669 	 0.001087664841212 	 39.870 	     5.8657 	 60240963855.4216842651 	 0.000000000582000
50 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 20 	 -0.000000000000135 	 -0.000000000000037 	 -0.000096505159008 	 29.068 	   261.0000 	 -7407407407407.4082031250 	 0.000000000339000
2 	 5 	 0.000000013700000 	 0.000000000583972 	 0.030440484441358 	 36.593 	   163.8756 	 72992700.7299270034 	 0.000000000734000
5 	 5 	 0.000000001106000 	 0.000000000161862 	 0.021093270468875 	 24.769 	  2633.3333 	 904159132.0072333813 	 0.000000000476000
8 	 5 	 0.000000000416000 	 0.000000000054271 	 0.011315919216244 	 29.678 	    57.3003 	 2403846153.8461537361 	 0.000000000524000
10 	 5 	 0.000000000250000 	 0.000000000029680 	 0.007735577817050 	 36.644 	    16.0462 	 4000000000.0000000000 	 0.000000000445000
15 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
