Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 100 	 0.000000004334000 	 0.000000000191064 	 0.009959517918034 	 -8.829 	 9252000.0000 	    0.00000 	 230733733.2718043625 	 0.000000000240800 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 100 	 0.000000002055500 	 0.000000000114698 	 0.011957610886632 	 -6.859 	 2588500.0000 	    0.00000 	 486499635.1252736449 	 0.000000000222050 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 100 	 0.000000001922500 	 0.000000000088319 	 0.013811274132390 	 -6.290 	 3985000.0000 	    0.00000 	 520156046.8140441775 	 0.000000000222000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
3 	 False 	 8 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001353 	 True 	 True 	 False 	 True 	 30 
4 	 True 	 10 	 100 	 0.000000001816500 	 0.000000000074272 	 0.019357841883362 	 -6.836 	 3673000.0000 	    0.00000 	 550509221.0294522047 	 0.000000000220300 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
5 	 True 	 20 	 100 	 0.000000000644050 	 0.000000000031253 	 0.016291056044519 	 -5.385 	 1396400.0000 	    0.00000 	 1552674481.7948915958 	 0.000000000221400 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
6 	 True 	 40 	 100 	 0.000000000480800 	 0.000000000022757 	 0.023724453081643 	 -5.743 	 1133500.0000 	    0.00000 	 2079866888.5191347599 	 0.000000000211550 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
7 	 True 	 80 	 100 	 0.000000000832050 	 0.000000000039194 	 0.081721749103505 	 -5.187 	 1719700.0000 	    0.00000 	 1201850850.3094766140 	 0.000000000216300 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
8 	 False 	 100 	 100 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001075 	 True 	 True 	 False 	 True 	 30 
9 	 True 	 2 	 50 	 0.000000020130000 	 0.000000000833966 	 0.043471778286237 	 -7.847 	 21540000.0000 	    0.00000 	 49677098.8574267253 	 0.000000000223600 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 4 	 50 	 0.000000006042000 	 0.000000000264484 	 0.027573266904276 	 -5.463 	 6321000.0000 	    0.00000 	 165508109.8973849714 	 0.000000000224700 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 6 	 50 	 0.000000005776000 	 0.000000000236022 	 0.036909044799688 	 -6.838 	 6087000.0000 	    0.00000 	 173130193.9058171809 	 0.000000000219800 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
12 	 True 	 8 	 50 	 0.000000003110000 	 0.000000000137372 	 0.028643008725415 	 -6.114 	 3259000.0000 	    0.00000 	 321543408.3601286411 	 0.000000000218200 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
13 	 True 	 10 	 50 	 0.000000003863000 	 0.000000000162628 	 0.042386093212643 	 -5.477 	 3994000.0000 	    0.00000 	 258866166.1920786798 	 0.000000000224700 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
14 	 True 	 20 	 50 	 0.000000003437000 	 0.000000000150293 	 0.078342507561526 	 -5.012 	 3507000.0000 	    0.00000 	 290951411.1143438816 	 0.000000000216500 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
15 	 True 	 40 	 50 	 0.000000002070000 	 0.000000000100368 	 0.104636282522214 	 -3.579 	 2328000.0000 	    0.00000 	 483091787.4396135211 	 0.000000000219400 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
16 	 True 	 80 	 50 	 0.000000001616000 	 0.000000000076996 	 0.160541974294064 	 -3.807 	 1742200.0000 	    0.00000 	 618811881.1881188154 	 0.000000000220400 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
17 	 False 	 100 	 50 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002327 	 True 	 True 	 False 	 True 	 30 
18 	 True 	 2 	 20 	 0.000000020345000 	 0.000000000797763 	 0.041584639783365 	 -6.597 	 4182000.0000 	    0.00000 	 49152125.8294421285 	 0.000000000215350 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
19 	 True 	 4 	 20 	 0.000000011837500 	 0.000000000517114 	 0.053910759762693 	 -6.046 	 5008000.0000 	    0.00000 	 84477296.7265047431 	 0.000000000216450 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
20 	 True 	 6 	 20 	 0.000000013785000 	 0.000000000609525 	 0.095317340872070 	 -5.271 	 5877000.0000 	    0.00000 	 72542618.7885382622 	 0.000000000220150 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
21 	 True 	 8 	 20 	 0.000000009447500 	 0.000000000395875 	 0.082542412545388 	 -6.100 	 1983500.0000 	    0.00000 	 105848107.9650701284 	 0.000000000217600 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
22 	 True 	 10 	 20 	 0.000000004552750 	 0.000000000188911 	 0.049236346220261 	 -5.535 	 1873600.0000 	    0.00000 	 219647465.8173631132 	 0.000000000216400 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
23 	 True 	 20 	 20 	 0.000000006610000 	 0.000000000309540 	 0.161352657202438 	 -4.496 	 2883000.0000 	    0.00000 	 151285930.4084720016 	 0.000000000426300 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
24 	 True 	 40 	 20 	 0.000000002815750 	 0.000000000147012 	 0.153264804760192 	 -3.922 	 1162100.0000 	    0.00000 	 355145165.5864334702 	 0.000000000217250 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
25 	 True 	 80 	 20 	 0.000000001647750 	 0.000000000075810 	 0.158069184459050 	 -3.752 	 680000.0000 	    0.00000 	 606888180.8526779413 	 0.000000000217700 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
26 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 -0.000000000293400 	 False 	 False 	 True 	 True 	 20 
27 	 True 	 2 	 10 	 0.000000035630000 	 0.000000001467161 	 0.076478090087366 	 -6.209 	 7185000.0000 	    0.00000 	 28066236.3177097961 	 0.000000000225600 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
28 	 True 	 4 	 10 	 0.000000028250000 	 0.000000001173252 	 0.122315215194391 	 -6.087 	 5872000.0000 	    0.00000 	 35398230.0884955749 	 0.000000000213950 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
29 	 False 	 6 	 10 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000019855 	 True 	 True 	 False 	 True 	 30 
30 	 True 	 8 	 10 	 0.000000009568000 	 0.000000000425346 	 0.088687368205160 	 -5.689 	 980450.0000 	    0.00000 	 104515050.1672240943 	 0.000000000218400 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
31 	 True 	 10 	 10 	 0.000000009418500 	 0.000000000402007 	 0.104776231171422 	 -5.192 	 1929400.0000 	    0.00000 	 106174019.2174974680 	 0.000000000214100 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
32 	 True 	 20 	 10 	 0.000000007913500 	 0.000000000340432 	 0.177455670904624 	 -4.038 	 1592200.0000 	    0.00000 	 126366336.0080874562 	 0.000000000226650 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
33 	 True 	 40 	 10 	 0.000000003040000 	 0.000000000148107 	 0.154406090500809 	 -2.963 	 637700.0000 	    0.00000 	 328947368.4210526347 	 0.000000000217350 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
34 	 True 	 80 	 10 	 0.000000001352000 	 0.000000000061304 	 0.127821850361876 	 -2.946 	 285900.0000 	    0.00000 	 739644970.4142011404 	 0.000000000224600 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
35 	 True 	 100 	 10 	 0.000000001582000 	 0.000000000075160 	 0.195891840582377 	 -3.190 	 325000.0000 	    0.00000 	 632111251.5802781582 	 0.000000000218900 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
36 	 True 	 2 	 5 	 0.000000073590000 	 0.000000002858552 	 0.149006496043621 	 -6.444 	 7384000.0000 	    0.00000 	 13588802.8264709860 	 0.000000000220450 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
37 	 True 	 4 	 5 	 0.000000046900000 	 0.000000001825125 	 0.190274972396797 	 -6.523 	 4734000.0000 	    0.00000 	 21321961.6204690859 	 0.000000000220300 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
38 	 True 	 6 	 5 	 0.000000029610000 	 0.000000001178642 	 0.184315714831724 	 -5.833 	 3032000.0000 	    0.00000 	 33772374.1979061142 	 0.000000000223150 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
39 	 False 	 8 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000024910 	 True 	 True 	 False 	 True 	 30 
40 	 False 	 10 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000035100 	 True 	 True 	 False 	 True 	 30 
41 	 True 	 20 	 5 	 0.000000009276000 	 0.000000000370661 	 0.193213036816483 	 -3.227 	 927600.0000 	    0.00000 	 107805088.4001724720 	 0.000000003877000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
42 	 True 	 40 	 5 	 0.000000004427000 	 0.000000000194685 	 0.202964909664560 	 -3.797 	 452600.0000 	    0.00000 	 225886604.9243279994 	 0.000000000225800 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
43 	 False 	 80 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000022570 	 True 	 True 	 False 	 True 	 30 
44 	 True 	 100 	 5 	 -0.000000000825800 	 0.000000000008279 	 0.021578403085245 	 -1.776 	 27330.0000 	    0.00000 	 -1210946960.5231289864 	 0.000000005389500 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
45 	 True 	 2 	 2 	 0.000000036012500 	 0.000000001280612 	 0.066753890360959 	 -4.754 	 1457200.0000 	    0.00000 	 27768136.0638667122 	 0.000000000216450 	 0.000000000000025 	 True 	 True 	 True 	 True 	 0 
46 	 True 	 4 	 2 	 0.000000053975000 	 0.000000001704401 	 0.177689190048811 	 -5.876 	 2306000.0000 	    0.00000 	 18527095.8777211681 	 0.000000000341500 	 0.000000000000025 	 True 	 True 	 True 	 True 	 0 
47 	 True 	 6 	 2 	 0.000000050340000 	 0.000000001934396 	 0.302500357160911 	 54.531 	  1193.2916 	  999.45314 	 19864918.5538339280 	 0.000000000210600 	 0.000000000043975 	 True 	 True 	 True 	 True 	 0 
48 	 True 	 8 	 2 	 0.000000022850000 	 0.000000000925709 	 0.193016168615409 	 -4.902 	 233475.0000 	    0.00000 	 43763676.1487964988 	 0.000000000218700 	 0.000000000000100 	 True 	 True 	 True 	 True 	 0 
49 	 False 	 10 	 2 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000017500 	 False 	 True 	 True 	 True 	 10 
